X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	Y	direction
296	271	248	279	252	208	54	105	126	149	290	275	315	281	252	323	1	Right
284	247	217	263	244	200	54	101	126	149	291	280	317	284	258	326	1	Right
315	285	254	246	225	182	52	98	124	147	271	245	292	261	232	308	1	Right
306	278	252	275	253	207	54	102	126	149	294	275	316	282	249	321	1	Right
301	281	257	294	262	228	258	277	344	177	113	250	262	114	113	339	2	forward
329	316	294	280	245	211	231	258	314	173	112	221	244	113	112	319	2	forward
331	318	297	309	273	236	258	282	338	177	112	233	251	113	112	322	2	forward
310	293	277	315	280	244	272	293	355	180	113	252	264	114	113	339	2	forward
298	274	251	304	272	238	269	287	351	179	113	252	263	114	113	339	2	forward
326	310	286	276	244	210	235	259	318	173	112	228	248	113	112	326	2	forward
329	318	298	299	263	226	244	271	325	174	112	223	245	113	112	317	2	forward
320	308	292	317	281	245	270	292	353	179	113	249	262	115	113	335	2	forward
293	271	252	314	279	243	271	291	354	179	113	252	263	115	113	340	2	forward
315	295	270	284	252	220	249	270	334	176	113	242	256	114	113	335	2	forward
331	320	299	285	250	215	234	262	317	173	112	219	242	113	112	316	2	forward
328	317	298	314	278	242	265	289	347	178	113	241	256	114	112	328	2	forward
300	282	266	315	280	244	271	292	355	179	113	253	264	115	113	340	2	forward
301	279	254	296	265	231	262	281	346	178	113	250	262	114	113	338	2	forward
327	314	292	277	243	209	231	257	314	172	112	222	245	113	112	321	2	forward
329	317	296	304	264	229	252	278	333	174	113	229	250	114	112	320	2	forward
312	297	280	313	273	239	269	292	354	175	114	251	266	115	112	338	2	forward
294	271	249	306	267	235	267	288	352	178	113	252	265	115	113	340	2	forward
321	305	281	275	238	207	235	259	321	173	112	231	252	114	112	329	2	forward
330	317	296	293	252	218	239	268	322	173	112	221	246	113	111	317	2	forward
320	308	290	313	273	239	267	291	352	178	113	248	263	115	112	335	2	forward
291	270	250	311	273	239	269	289	353	178	113	252	266	115	113	341	2	forward
309	289	263	281	249	217	248	269	335	176	113	243	258	115	113	336	2	forward
329	317	296	281	246	212	232	260	316	172	112	219	242	113	111	316	2	forward
